Year,Population
1960,15471824697
1961,15684544439
1962,15969217903
1963,16319481277
1964,16672728038
1965,17032084723
1966,17406993750
1967,17781857774
1968,18166655939
1969,18564358181
1970,18968337589
1971,19380223928
1972,19783568625
1973,20190869626
1974,20596583977
1975,20995342366
1976,21392390123
1977,21788277189
1978,22191561531
1979,22606863585
1980,23023756530
1981,23449931430
1982,23898279719
1983,24352035250
1984,24805278731
1985,25268224391
1986,25742239403
1987,26226407167
1988,26714485251
1989,27201537831
1990,27696063100
1991,28179695058
1992,28657159733
1993,29133613922
1994,29606092643
1995,30075252398
1996,30544757714
1997,31011167951
1998,31473855312
1999,31932502866
2000,32387612471
2001,32844656423
2002,33304565938
2003,33764243120
2004,34224984188
2005,34688101871
2006,35152964686
2007,35616477646
2008,36089111711
2009,36568815080
2010,37053555928
2011,37541756024
2012,38045912961
2013,38555323529
2014,39064947065
2015,39571183453
2016,40080119398
2017,40591906407
2018,41096037600
2019,41591171117
2020,42074767398
2021,42518371098
2022,42918209266
